Point_ID,Grid,Latitude,Longitude,Ground_Elevation_m,Building_Height_m,Surface_Type,Notes
P001,R01C01,17.52294382,78.3630334,522,0,soil,forest
P002,R01C02,17.52294382,78.36336473,530,0,soil,forest
P003,R01C03,17.52294382,78.36369605,530,0,soil,forest
P004,R01C04,17.52294382,78.36402738,530,0,soil,forest
P005,R01C05,17.52294382,78.36435871,530,0,soil,forest
P006,R01C06,17.52294382,78.36469004,530,0,soil,forest
P007,R01C07,17.52294382,78.36502136,530,0,soil,forest
P008,R01C08,17.52294382,78.36535269,530,0,soil,forest
P009,R01C09,17.52294382,78.36568402,530,0,soil,forest
P010,R01C10,17.52294382,78.36601535,530,0,soil,forest
P011,R01C11,17.52294382,78.36634667,530,0,soil,forest
P012,R01C12,17.52294382,78.366678,530,0,soil,forest
P013,R01C13,17.52294382,78.36700933,530,0,soil,forest
P014,R01C14,17.52294382,78.36734066,530,0,soil,forest
P015,R01C15,17.52294382,78.36767198,530,0,soil,forest
P016,R01C16,17.52294382,78.36800331,530,0,soil,forest
P017,R01C17,17.52294382,78.36833464,530,0,soil,forest
P018,R01C18,17.52294382,78.36866597,530,0,soil,forest
P019,R01C19,17.52294382,78.36899729,530,0,soil,forest
P020,R01C20,17.52294382,78.36932862,530,0,soil,forest
P021,R02C01,17.5224712,78.3630334,530,0,soil,forest
P022,R02C02,17.5224712,78.36336473,530,0,soil,forest
P023,R02C03,17.5224712,78.36369605,530,0,soil,forest
P024,R02C04,17.5224712,78.36402738,530,0,soil,forest
P025,R02C05,17.5224712,78.36435871,530,0,soil,forest
P026,R02C06,17.5224712,78.36469004,530,0,soil,forest
P027,R02C07,17.5224712,78.36502136,530,0,soil,forest
P028,R02C08,17.5224712,78.36535269,530,0,soil,forest
P029,R02C09,17.5224712,78.36568402,530,0,soil,forest
P030,R02C10,17.5224712,78.36601535,530,0,soil,forest
P031,R02C11,17.5224712,78.36634667,530,0,soil,forest
P032,R02C12,17.5224712,78.366678,530,0,soil,forest
P033,R02C13,17.5224712,78.36700933,540,0,soil,forest
P034,R02C14,17.5224712,78.36734066,540,0,soil,car parking
P035,R02C15,17.5224712,78.36767198,540,0,soil,car parking
P036,R02C16,17.5224712,78.36800331,540,0,concrete,block4
P037,R02C17,17.5224712,78.36833464,535,0,soil,forest
P038,R02C18,17.5224712,78.36866597,525,0,soil,forest
P039,R02C19,17.5224712,78.36899729,522,0,soil,forest
P040,R02C20,17.5224712,78.36932862,520,0,soil,forest
P041,R03C01,17.52199859,78.3630334,520,0,soil,forest
P042,R03C02,17.52199859,78.36336473,522,0,soil,forest
P043,R03C03,17.52199859,78.36369605,528,0,soil,forest
P044,R03C04,17.52199859,78.36402738,530,0,soil,forest
P045,R03C05,17.52199859,78.36435871,535,0,soil,forest
P046,R03C06,17.52199859,78.36469004,540,0,soil,forest
P047,R03C07,17.52199859,78.36502136,545,0,soil,forest
P048,R03C08,17.52199859,78.36535269,550,0,soil,forest
P049,R03C09,17.52199859,78.36568402,553,0,soil,forest
P050,R03C10,17.52199859,78.36601535,550,0,soil,forest
P051,R03C11,17.52199859,78.36634667,547,0,soil,forest
P052,R03C12,17.52199859,78.366678,545,0,soil,forest
P053,R03C13,17.52199859,78.36700933,545,0,soil,forest
P054,R03C14,17.52199859,78.36734066,550,0,soil,forest
P055,R03C15,17.52199859,78.36767198,550,20,concrete,block4
P056,R03C16,17.52199859,78.36800331,550,20,concrete,block4
P057,R03C17,17.52199859,78.36833464,540,0,soil,forest
P058,R03C18,17.52199859,78.36866597,539,0,soil,forest
P059,R03C19,17.52199859,78.36899729,538,0,soil,forest
P060,R03C20,17.52199859,78.36932862,537,0,soil,forest
P061,R04C01,17.52152597,78.3630334,530,0,soil,forest
P062,R04C02,17.52152597,78.36336473,532,0,soil,forest
P063,R04C03,17.52152597,78.36369605,535,0,soil,forest
P064,R04C04,17.52152597,78.36402738,540,0,soil,forest
P065,R04C05,17.52152597,78.36435871,545,0,soil,forest
P066,R04C06,17.52152597,78.36469004,550,15,concrete,school1
P067,R04C07,17.52152597,78.36502136,550,15,concrete,school1
P068,R04C08,17.52152597,78.36535269,551,0,concrete,road
P069,R04C09,17.52152597,78.36568402,552,0,concrete,road
P070,R04C10,17.52152597,78.36601535,553,0,concrete,road
P071,R04C11,17.52152597,78.36634667,554,0,concrete,road
P072,R04C12,17.52152597,78.366678,550,0,concrete,road
P073,R04C13,17.52152597,78.36700933,551,0,concrete,road
P074,R04C14,17.52152597,78.36734066,551,18,concrete,block1
P075,R04C15,17.52152597,78.36767198,545,0,soil,forest
P076,R04C16,17.52152597,78.36800331,540,0,soil,forest
P077,R04C17,17.52152597,78.36833464,537,0,soil,forest
P078,R04C18,17.52152597,78.36866597,537,0,soil,forest
P079,R04C19,17.52152597,78.36899729,535,0,soil,forest
P080,R04C20,17.52152597,78.36932862,535,0,soil,forest
P081,R05C01,17.52105335,78.3630334,522,0,soil,forest
P082,R05C02,17.52105335,78.36336473,523,0,soil,forest
P083,R05C03,17.52105335,78.36369605,524,0,soil,forest
P084,R05C04,17.52105335,78.36402738,523,0,soil,forest
P085,R05C05,17.52105335,78.36435871,528,0,soil,forest
P086,R05C06,17.52105335,78.36469004,530,18,concrete,school1
P087,R05C07,17.52105335,78.36502136,530,18,concrete,school1
P088,R05C08,17.52105335,78.36535269,532,15,concrete,campus2
P089,R05C09,17.52105335,78.36568402,540,0,concrete,road
P090,R05C10,17.52105335,78.36601535,544,18,concrete,block2
P091,R05C11,17.52105335,78.36634667,546,0,concrete,road
P092,R05C12,17.52105335,78.366678,546,0,concrete,road
P093,R05C13,17.52105335,78.36700933,545,0,concrete,road
P094,R05C14,17.52105335,78.36734066,544,18,concrete,block1
P095,R05C15,17.52105335,78.36767198,546,0,concrete,road
P096,R05C16,17.52105335,78.36800331,548,0,concrete,road
P097,R05C17,17.52105335,78.36833464,542,0,concrete,road
P098,R05C18,17.52105335,78.36866597,538,0,concrete,road
P099,R05C19,17.52105335,78.36899729,535,0,soil,grass land
P100,R05C20,17.52105335,78.36932862,534,0,soil,grass land
P101,R06C01,17.52058074,78.3630334,522,0,soil,grass land
P102,R06C02,17.52058074,78.36336473,523,0,soil,grass land
P103,R06C03,17.52058074,78.36369605,522,0,soil,grass land
P104,R06C04,17.52058074,78.36402738,522,0,soil,grass land
P105,R06C05,17.52058074,78.36435871,523,14,concrete,campus2
P106,R06C06,17.52058074,78.36469004,523,14,concrete,campus2
P107,R06C07,17.52058074,78.36502136,525,0,concrete,open land
P108,R06C08,17.52058074,78.36535269,530,0,concrete,open land
P109,R06C09,17.52058074,78.36568402,535,16,concrete,open land
P110,R06C10,17.52058074,78.36601535,535,16,concrete,open land
P111,R06C11,17.52058074,78.36634667,540,0,concrete,open land
P112,R06C12,17.52058074,78.366678,545,4,concrete,stage
P113,R06C13,17.52058074,78.36700933,547,0,concrete,open land
P114,R06C14,17.52058074,78.36734066,545,18,concrete,open land
P115,R06C15,17.52058074,78.36767198,540,0,concrete,road to gate
P116,R06C16,17.52058074,78.36800331,537,0,soil,open land
P117,R06C17,17.52058074,78.36833464,538,0,soil,open land
P118,R06C18,17.52058074,78.36866597,537,16,concrete,pharmacy
P119,R06C19,17.52058074,78.36899729,537,16,concrete,pharmacy
P120,R06C20,17.52058074,78.36932862,534,0,soil,forest
P121,R07C01,17.52010812,78.3630334,523,0,soil,forest
P122,R07C02,17.52010812,78.36336473,523,0,soil,forest
P123,R07C03,17.52010812,78.36369605,524,0,concrete,open land
P124,R07C04,17.52010812,78.36402738,525,0,concrete,open land
P125,R07C05,17.52010812,78.36435871,528,0,soil,open land
P126,R07C06,17.52010812,78.36469004,527,0,soil,open land
P127,R07C07,17.52010812,78.36502136,528,0,soil,open land
P128,R07C08,17.52010812,78.36535269,528,0,soil,open land
P129,R07C09,17.52010812,78.36568402,529,0,soil,open land
P130,R07C10,17.52010812,78.36601535,530,0,soil,open land
P131,R07C11,17.52010812,78.36634667,531,0,soil,open land
P132,R07C12,17.52010812,78.366678,532,0,soil,open land
P133,R07C13,17.52010812,78.36700933,532,0,soil,open land
P134,R07C14,17.52010812,78.36734066,537,18,concrete,block3
P135,R07C15,17.52010812,78.36767198,538,0,concrete,road to gate
P136,R07C16,17.52010812,78.36800331,538,0,soil,open land
P137,R07C17,17.52010812,78.36833464,533,0,soil,open land
P138,R07C18,17.52010812,78.36866597,530,0,soil,open land
P139,R07C19,17.52010812,78.36899729,528,0,soil,open land
P140,R07C20,17.52010812,78.36932862,527,0,soil,open land
P141,R08C01,17.5196355,78.3630334,522,0,soil,open land
P142,R08C02,17.5196355,78.36336473,523,0,soil,open land
P143,R08C03,17.5196355,78.36369605,520,0,soil,open land
P144,R08C04,17.5196355,78.36402738,520,13,concrete,school
P145,R08C05,17.5196355,78.36435871,520,13,concrete,school
P146,R08C06,17.5196355,78.36469004,520,13,concrete,school
P147,R08C07,17.5196355,78.36502136,520,0,soil,open land
P148,R08C08,17.5196355,78.36535269,521,0,soil,open land
P149,R08C09,17.5196355,78.36568402,520,0,soil,open land
P150,R08C10,17.5196355,78.36601535,520,0,soil,open land
P151,R08C11,17.5196355,78.36634667,520,0,soil,open land
P152,R08C12,17.5196355,78.366678,520,0,soil,open land
P153,R08C13,17.5196355,78.36700933,522,0,soil,open land
P154,R08C14,17.5196355,78.36734066,523,0,soil,open land
P155,R08C15,17.5196355,78.36767198,525,0,soil,open land
P156,R08C16,17.5196355,78.36800331,525,0,soil,open land
P157,R08C17,17.5196355,78.36833464,530,0,concrete,road to gate
P158,R08C18,17.5196355,78.36866597,528,0,soil,open land
P159,R08C19,17.5196355,78.36899729,525,0,soil,open land
P160,R08C20,17.5196355,78.36932862,523,0,soil,open land
P161,R09C01,17.51916289,78.3630334,521,0,soil,forest
P162,R09C02,17.51916289,78.36336473,522,0,soil,forest
P163,R09C03,17.51916289,78.36369605,522,0,soil,forest
P164,R09C04,17.51916289,78.36402738,522,13,soil,school
P165,R09C05,17.51916289,78.36435871,520,0,soil,ground
P166,R09C06,17.51916289,78.36469004,520,0,soil,road to school
P167,R09C07,17.51916289,78.36502136,520,0,soil,ground
P168,R09C08,17.51916289,78.36535269,520,0,soil,ground
P169,R09C09,17.51916289,78.36568402,520,0,soil,ground
P170,R09C10,17.51916289,78.36601535,520,0,soil,ground
P171,R09C11,17.51916289,78.36634667,520,0,soil,grass land
P172,R09C12,17.51916289,78.366678,522,0,soil,grass land
P173,R09C13,17.51916289,78.36700933,523,0,soil,grass land
P174,R09C14,17.51916289,78.36734066,525,0,concrete,hall2
P175,R09C15,17.51916289,78.36767198,525,0,concrete,hall2
P176,R09C16,17.51916289,78.36800331,525,0,concrete,hall1
P177,R09C17,17.51916289,78.36833464,528,0,concrete,hall1
P178,R09C18,17.51916289,78.36866597,528,0,concrete,main gate
P179,R09C19,17.51916289,78.36899729,528,0,concrete,road
P180,R09C20,17.51916289,78.36932862,527,0,concrete,road
