point_id,latitude,longitude,type,condition,opening_size_cm,photo_ref
D001,17.594903,78.391001,manhole,partially_blocked,56.5,photo_D001.jpg
D002,17.594784,78.391159,culvert,damaged,35.8,photo_D002.jpg
D003,17.594957,78.391029,open_drain,partially_blocked,29.9,photo_D003.jpg
D004,17.594781,78.390931,storm_drain_inlet,damaged,34.5,photo_D004.jpg
D005,17.594999,78.390869,storm_drain_inlet,clear,50.2,photo_D005.jpg
D006,17.594931,78.390876,culvert,damaged,43.9,photo_D006.jpg
D007,17.594692,78.391098,storm_drain_inlet,blocked,58.8,photo_D007.jpg
D008,17.59493,78.390806,manhole,blocked,50.7,photo_D008.jpg
D009,17.59467,78.390947,culvert,damaged,20.1,photo_D009.jpg
D010,17.594861,78.39116,culvert,clear,54.8,photo_D010.jpg
D011,17.594649,78.391119,culvert,partially_blocked,35.0,photo_D011.jpg
D012,17.594581,78.391277,manhole,blocked,39.5,photo_D012.jpg
