point_id,latitude,longitude,elevation_m,surface_type,notes
P001,17.5945,78.3908,520.42,paved,
P002,17.5945,78.39089,520.77,roof,
P003,17.5945,78.39098,519.27,paved,
P004,17.5945,78.39107,520.68,paved,
P005,17.5945,78.39116,520.47,paved,
P006,17.5945,78.39125,518.84,roof,
P007,17.59459,78.3908,519.05,paved,
P008,17.59459,78.39089,520.08,bare_soil,
P009,17.59459,78.39098,519.11,grass,
P010,17.59459,78.39107,520.93,paved,
P011,17.59459,78.39116,520.83,roof,
P012,17.59459,78.39125,520.69,grass,
P013,17.59468,78.3908,519.03,roof,
P014,17.59468,78.39089,521.12,grass,
P015,17.59468,78.39098,518.61,bare_soil,
P016,17.59468,78.39107,518.64,grass,
P017,17.59468,78.39116,520.21,paved,
P018,17.59468,78.39125,520.64,paved,
P019,17.59477,78.3908,520.97,bare_soil,
P020,17.59477,78.39089,518.34,grass,
P021,17.59477,78.39098,520.64,grass,
P022,17.59477,78.39107,519.93,paved,
P023,17.59477,78.39116,518.39,roof,
P024,17.59477,78.39125,520.62,paved,
P025,17.59486,78.3908,520.47,paved,
P026,17.59486,78.39089,519.09,bare_soil,
P027,17.59486,78.39098,519.91,grass,
P028,17.59486,78.39107,518.54,grass,
P029,17.59486,78.39116,518.73,grass,
P030,17.59486,78.39125,520.26,paved,
P031,17.59495,78.3908,519.58,roof,
P032,17.59495,78.39089,519.4,roof,
P033,17.59495,78.39098,518.34,bare_soil,
P034,17.59495,78.39107,518.71,roof,
P035,17.59495,78.39116,520,paved,
P036,17.59495,78.39125,518.69,paved,
