date,rainfall_mm,source
2025-07-01,1.7,Open-Meteo (sample)
2025-07-02,5.4,Open-Meteo (sample)
2025-07-03,14.8,Open-Meteo (sample)
2025-07-04,12.1,Open-Meteo (sample)
2025-07-05,3.6,Open-Meteo (sample)
2025-07-06,74.5,Open-Meteo (sample)
2025-07-07,94.0,Open-Meteo (sample)
2025-07-08,1.2,Open-Meteo (sample)
2025-07-09,11.0,Open-Meteo (sample)
2025-07-10,12.2,Open-Meteo (sample)
2025-07-11,14.7,Open-Meteo (sample)
2025-07-12,8.0,Open-Meteo (sample)
2025-07-13,1.9,Open-Meteo (sample)
2025-07-14,9.9,Open-Meteo (sample)
2025-07-15,116.8,Open-Meteo (sample)
2025-07-16,2.5,Open-Meteo (sample)
2025-07-17,7.9,Open-Meteo (sample)
2025-07-18,9.1,Open-Meteo (sample)
2025-07-19,14.5,Open-Meteo (sample)
2025-07-20,13.9,Open-Meteo (sample)
2025-07-21,11.3,Open-Meteo (sample)
2025-07-22,10.3,Open-Meteo (sample)
2025-07-23,102.8,Open-Meteo (sample)
2025-07-24,6.0,Open-Meteo (sample)
2025-07-25,10.1,Open-Meteo (sample)
2025-07-26,5.6,Open-Meteo (sample)
2025-07-27,13.5,Open-Meteo (sample)
2025-07-28,6.8,Open-Meteo (sample)
2025-07-29,3.7,Open-Meteo (sample)
2025-07-30,1.0,Open-Meteo (sample)
